id,snapshot_date,total,source_url
8156,2003-02-28,861,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2003-02-28,3,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F28%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2002-08-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2002-08-31,954,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2002-08-31,239,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2012-07-31,756,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2012&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2012-07-31,1202,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2012&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2012-07-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2012&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2021-11-30,467,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2021&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2021-11-30,83,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2021&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2016-11-30,655,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2016&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2016-11-30,892,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2016&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2018-05-31,681,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2018&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2018-05-31,600,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2018&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2005-03-31,593,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2005&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2005-03-31,854,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2005&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2005-03-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2005&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2016-10-31,650,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2016&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
